# KKM 2017 Feb 9
# Galactic center star orbits from Table 3 of Gillessen et al. 2016 arXiv 1611.09144
# Stripped to the following columns where sigs are the uncertainties
#
# a(arcsec) sig_a(arcsec)    P(yr)    sig_P(yr)
   0.59500    0.02400    166.00000    5.80000
   0.12550    0.00090     16.00000    0.02000
   0.35700    0.00370     77.00000    1.00000
   0.65740    0.00060    192.00000    0.17000
   0.40470    0.00140     92.90000    0.41000
   0.27240    0.00410     51.30000    0.70000
   0.29870    0.00180     58.90000    0.22000
   0.26410    0.00160     49.00000    0.14000
   0.28630    0.00360     55.30000    0.48000
   0.35590    0.00960     76.60000    1.00000
   0.23790    0.00150     41.90000    0.18000
   0.52000    0.09400    135.00000   14.00000
   0.21900    0.00170     37.00000    0.28000
   1.31000    0.28000    540.00000   63.00000
   0.25300    0.01200     45.80000    1.60000
   0.94400    0.04800    331.00000   16.00000
   0.42800    0.01900    101.00000    2.00000
   0.44900    0.01000    108.00000    1.20000
   0.65700    0.02600    192.00000    5.20000
   0.14160    0.00020     19.20000    0.02000
   0.37000    0.01500     81.10000    1.50000
   0.95000    0.18000    335.00000   58.00000
   1.20000    0.87000    477.00000  199.00000
   0.10780    0.00100     12.80000    0.11000
   0.38770    0.00700     87.10000    1.40000
   1.50200    0.09500    664.00000   37.00000
   1.12600    0.02600    431.00000   10.00000
   0.97300    0.04000    346.00000   11.00000
   1.49000    0.19000    656.00000   69.00000
   4.60000    3.30000   3580.00000 2550.00000
   2.74000    0.16000   1640.00000  105.00000
   1.08100    0.05500    406.00000   27.00000
   1.91700    0.08900    958.00000   50.00000
   1.49900    0.05700    662.00000   29.00000
   2.32000    0.46000   1270.00000  309.00000
   1.12000    0.18000    426.00000   71.00000
   0.41400    0.03900     96.20000    5.00000
   1.81000    0.15000    877.00000   83.00000
   3.90000    1.40000   2730.00000 1350.00000
